content_id,title,description,content_type,target_emotions,activity_type,difficulty,duration,duration_minutes,language,tags
well_001,4-7-8 Deep Box Breathing,A calming rhythmic breathing technique to soothe acute stress and reduce emotional arousal.,exercise,"fear,anger,surprise",breathing exercise,Beginner,5 mins,5,English,"calm,breath,slow,anxiety,panic,stress_relief"
well_002,Mindful Grounding 5-4-3-2-1 Technique,Use your five senses to ground your awareness in the present moment and alleviate racing thoughts.,interactive_guide,"fear,sadness,surprise",relaxation activity,Beginner,8 mins,8,English,"grounding,mindfulness,panic,overwhelm,present_moment"
well_003,Compassionate Self-Reflection Journal,Guided journaling prompts designed to process feelings of sadness and self-criticism with kindness.,text,"sadness,disgust",journaling,Beginner,10 mins,10,English,"reflection,journal,sadness,self_care,healing"
well_004,Progressive Muscle Relaxation (PMR),Step-by-step physical tension and release cycle to release somatic muscle tightness caused by anger or stress.,exercise,"anger,fear,disgust",relaxation activity,Intermediate,12 mins,12,English,"muscle_relaxation,tension_release,anger,somatic,stress"
well_005,Joy Savoring and Gratitude Anchor,A positive reflection practice to celebrate recent wins and anchor joyful emotional energy.,text,"joy,surprise",positive reflection,Beginner,5 mins,5,English,"gratitude,joy,celebration,happiness,positivity"
well_006,Resilience & Perspective Reframing,Cognitive reframing exercise to view overwhelming situations with clarity and resilience.,interactive_guide,"sadness,fear,anger",motivational content,Intermediate,10 mins,10,English,"reframing,resilience,mindset,growth,motivation"
well_007,5-Minute Desktop Stretch & Reset,Quick seated physical stretches to relieve neck and back strain during demanding work sessions.,exercise,"anger,sadness",productivity break,Beginner,5 mins,5,English,"stretch,desk_break,physical,refresh,energy"
well_008,Calming Ambient Rain & Binaural Audio,A soothing ambient soundscape designed to help de-escalate heightened anxiety and induce calm.,audio,"fear,anger,surprise",music/audio activity,Beginner,15 mins,15,English,"ambient,sound,relax,calm_music,peace"
well_009,Emotional Release Free-Writing,Unfiltered 7-minute free-writing session to safely vent anger and clarify underlying emotional triggers.,text,"anger,disgust",journaling,Beginner,7 mins,7,English,"free_writing,venting,anger_management,clarity"
well_010,Loving-Kindness (Metta) Meditation,A gentle meditation sending goodwill and peace to oneself and others to soften heavy emotional states.,audio,"sadness,anger,disgust",meditation,Beginner,10 mins,10,English,"meditation,compassion,kindness,peace,softening"
well_011,Diaphragmatic Belly Breathing,Deep abdominal breathing to activate the parasympathetic nervous system and restore balance.,exercise,"fear,anger",breathing exercise,Beginner,5 mins,5,English,"belly_breathing,parasympathetic,heart_rate,calm"
well_012,Mindful Walking & Sensory Observation,Take a slow 10-minute walk while observing nature and physical sensations to reset your mindset.,exercise,"sadness,disgust,fear",physical activity,Beginner,10 mins,10,English,"walking,nature,movement,mindfulness,sensory"
well_013,Joyful Micro-Moments Log,Create a bulleted list of tiny delightful things experienced today to amplify optimism and joy.,text,"joy",journaling,Beginner,5 mins,5,English,"joy_log,micro_moments,delight,optimism,daily_wins"
well_014,Uplifting Acoustic Resonance Audio,Uplifting harmonic acoustic instruments to inspire motivation and sustained positive momentum.,audio,"joy,surprise",music/audio activity,Beginner,10 mins,10,English,"uplifting,acoustic,focus,motivation,positive_energy"
well_015,Body Scan Meditation for Tension Awareness,Systematic head-to-toe awareness scan to identify and release emotional holding patterns in the body.,audio,"fear,sadness,disgust",meditation,Intermediate,15 mins,15,English,"body_scan,awareness,somatic_release,relaxation"
well_016,Unclutter Your Workspace Reset,A 5-minute tactile physical organization break to clear cognitive load and restore mental clarity.,interactive_guide,"anger,surprise",productivity break,Beginner,5 mins,5,English,"declutter,workspace,focus,organization,mental_clarity"
well_017,Future Self Compassion Visualization,Guided mental imagery connecting with a future wise self to navigate current confusion or distress.,audio,"sadness,fear",meditation,Intermediate,12 mins,12,English,"visualization,future_self,wisdom,clarity,hope"
well_018,Hydration & Mindful Breath Pause,A brief pause to drink a glass of water mindfully paired with three slow exhales for instant nervous system reset.,exercise,"surprise,anger,fear",breathing exercise,Beginner,3 mins,3,English,"hydration,breath_pause,micro_break,quick_reset"
well_019,Daily Wins & Strengths Inventory,Catalog your core strengths and how you utilized them today to reinforce self-efficacy and resilience.,text,"joy,sadness",positive reflection,Beginner,8 mins,8,English,"strengths,self_efficacy,wins,empowerment"
well_020,Energizing Morning Sun Salutation,Light yoga flow to stimulate endorphins and awaken bodily vitality.,exercise,"sadness,joy",physical activity,Intermediate,10 mins,10,English,"yoga,vitality,energy,morning,movement"
well_021,Thought Cloud Letting-Go Meditation,Visualize transient troubling thoughts as clouds drifting peacefully across a wide open sky.,audio,"fear,anger,disgust",meditation,Beginner,8 mins,8,English,"thoughts,letting_go,detachment,mindfulness"
well_022,Inspirational Resilience Audio Bites,Curated short quotes and perspectives on overcoming adversity and regaining emotional equilibrium.,audio,"sadness,fear,anger",motivational content,Beginner,6 mins,6,English,"audio_quotes,resilience,perspective,encouragement"
well_023,Calm Ocean Wave Sound Meditation,Rhythmic ocean waves matched with natural breathing pace to de-escalate tension.,audio,"fear,anger",music/audio activity,Beginner,10 mins,10,English,"ocean,waves,nature_sounds,rhythm,peace"
well_024,Boundary Clarification & Values Reflection,Structured journaling prompt to identify personal energy drains and reaffirm healthy personal boundaries.,text,"anger,disgust,sadness",journaling,Intermediate,12 mins,12,English,"boundaries,values,energy,assertiveness,self_respect"
